mol_i,mol_j,similarity,delta_pic50,smiles_i,smiles_j,sali
1786,1788,0.8387096524238586,3.4499999999999993,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccc2F)CC1,N#Cc1ccccc1N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)cc(F)c2F)CC1,21.389996685147796
877,884,0.8055555820465088,4.05,O=C1CC2c3c(cccc31)CCN2C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,O=C1NCC2c3c(cccc31)CCN2C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,20.828574266239475
2496,2655,0.8305084705352783,3.2700000000000005,NC(=O)c1cccc2[nH]c(-c3ccc(C(=O)N4CCN(C(=O)c5ccc(Br)o5)CC4)cc3)nc12,NC(=O)c1cccc2[nH]c(-c3ccc(C(=O)N4CCN(C(=O)c5ccc(Cl)o5)CC4)cc3)nc12,19.29299954001905
1779,1781,0.868852436542511,2.41,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(F)cc2)CC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(Cl)cc2)CC1,18.37624685098471
1831,1848,0.8730158805847168,2.3000000000000007,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCC2(C1)CN(C(=O)C1CC1)C2,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CC2(C1)CN(C(=O)C1CC1)C2,18.112501079589197
1779,1780,0.868852436542511,2.3200000000000003,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(F)cc2)CC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(Br)cc2)CC1,17.689996968582793
1778,1781,0.8666666746139526,2.3100000000000005,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccc2)CC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(Cl)cc2)CC1,17.325001032650537
1778,1780,0.8666666746139526,2.2200000000000006,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccc2)CC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(Br)cc2)CC1,16.6500009924174
1824,1834,0.868852436542511,2.08,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCC2(CCNCC2)C1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCC2(CCC2)C1,15.859997282177677
1754,1755,0.8591549396514893,2.1799999999999997,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)C1CCN(CC(F)(F)F)C1,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)C1CCN(CCC(F)(F)F)C1,15.478001107072908
2215,2218,0.8656716346740723,2.0699999999999994,CC[C@@H]1CN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CCN1CC,CC[C@H]1CN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CCN1CC(F)(F)F,15.40999918354886
1781,1791,0.8548387289047241,2.2300000000000004,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(Cl)cc2)CC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(O)cc2)CC1,15.362224257022048
875,876,0.8571428656578064,2.1900000000000004,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCc2cccc3c2C1CC3F,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCc2cccc3c2C1CC3O,15.330000913739262
2509,2520,0.8399999737739563,2.4099999999999993,Cc1ccc(-c2nnc3n2CCN(C(=O)c2cc(Cc4n[nH]c(=O)c5ccccc45)ccc2F)C3)o1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nnc2-c2ccc(C(F)(F)F)o2)C1,15.062497531064254
1827,1848,0.84375,2.3100000000000005,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCC2(CCN(C(=O)C3CC3)C2)C1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CC2(C1)CN(C(=O)C1CC1)C2,14.784000000000002
1780,1791,0.8548387289047241,2.1400000000000006,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(Br)cc2)CC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(O)cc2)CC1,14.742224174900082
233,240,0.8333333134651184,2.4400000000000004,Oc1[nH]c(O)c2c1c1c(c3[nH]c4ccccc4c32)=CCC=1,Oc1[nH]c(O)c2c1c1c(c3[nH]c4ccccc4c32)=CCCC=1,14.639998254776211
1779,1789,0.828125,2.45,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(F)cc2)CC1,COc1ccc(N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)cc(F)c3F)CC2)cc1,14.254545454545456
1754,1757,0.8194444179534912,2.5199999999999996,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)C1CCN(CC(F)(F)F)C1,O=C(Nc1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)cnc1F)C1CCN(CCC2CC2)C1,13.956921029175826
880,884,0.8441558480262756,2.16,O=C1NCC2c3c(cccc31)CCN2C(=O)C1CCCN1C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,O=C1NCC2c3c(cccc31)CCN2C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,13.860000344216832
874,875,0.8450704216957092,2.13,NC1CC2c3c(cccc31)CCN2C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCc2cccc3c2C1CC3F,13.748181743685864
2602,2605,0.8118811845779419,2.54,Cn1cc(-c2ccc(=O)n(CCOc3ccnc4cc(N5CCC(NC(=O)c6cc(Cc7n[nH]c(=O)c8ccccc78)ccc6F)CC5)ccc34)n2)cn1,Cn1cc(-c2ccc(=O)n(CCOc3ccnc4cc(N5CCN(C(=O)c6cc(Cc7n[nH]c(=O)c8ccccc78)ccc6F)CC5)ccc34)n2)cn1,13.502105009014262
2599,2605,0.8199999928474426,2.4299999999999997,Cn1cc(-c2ccc(=O)n(CCOc3ccnc4cc(NCCN5CCN(C(=O)c6cc(Cc7n[nH]c(=O)c8ccccc78)ccc6F)CC5)ccc34)n2)cn1,Cn1cc(-c2ccc(=O)n(CCOc3ccnc4cc(N5CCN(C(=O)c6cc(Cc7n[nH]c(=O)c8ccccc78)ccc6F)CC5)ccc34)n2)cn1,13.499999463558217
1778,1789,0.8253968358039856,2.3500000000000005,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccc2)CC1,COc1ccc(N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)cc(F)c3F)CC2)cc1,13.459091711315292
156,157,0.8360655903816223,2.08,COc1ccc(C2=CCN(CCCc3nc(=O)c4ccccc4[nH]3)CC2)cc1,COc1cccc(C2=CCN(CCCc3nc(=O)c4ccccc4[nH]3)CC2)c1,12.688001285648477
1789,1791,0.8153846263885498,2.2700000000000005,COc1ccc(N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)cc(F)c3F)CC2)cc1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(O)cc2)CC1,12.295834066222158
1778,1786,0.8305084705352783,2.0500000000000007,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccc2)CC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccc2F)CC1,12.09499971163274
2509,2519,0.807692289352417,2.289999999999999,Cc1ccc(-c2nnc3n2CCN(C(=O)c2cc(Cc4n[nH]c(=O)c5ccccc45)ccc2F)C3)o1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nnc2-c2ccc([N+](=O)[O-])o2)C1,11.907998864364728
1090,1907,0.8095238208770752,2.25,NC(=O)c1cccc2c1O/C(=C\c1ccccc1)C2=O,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)O)cc1)C2=O,11.812500704079909
1781,1794,0.8253968358039856,2.0600000000000005,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(Cl)cc2)CC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccncc2)CC1,11.798182521408298
2121,2123,0.8118811845779419,2.1100000000000003,Cc1c(CN2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,Cc1c(CN2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)cc3C(F)(F)F)nc12,11.216315578354369
1779,1786,0.8032786846160889,2.1500000000000004,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(F)cc2)CC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccc2F)CC1,10.92916644952364
2627,2634,0.804347813129425,2.12,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,CC(C)C[C@H](NC(=O)C(NC(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)C(C)O)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1,10.835554837945114
868,884,0.8082191944122314,2.0699999999999994,Cc1c(Cc2ccc(F)c(C(=O)N3CCc4cccc5c4C3CNC5=O)c2)n[nH]c(=O)c1C,O=C1NCC2c3c(cccc31)CCN2C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,10.793572347638634
237,241,0.8048780560493469,2.05,O=C1NCc2c1c1c(c3[nH]c4ccccc4c23)CCC1,O=C1NCc2c3c(c4[nH]c5ccccc5c4c21)CCC3,10.506250391388326
881,884,0.8051947951316833,2.0299999999999994,O=C(NCC(=O)N1CCc2cccc3c2C1CNC3=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,O=C1NCC2c3c(cccc31)CCN2C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,10.420666128362575
1152,1293,1.0,2.380000000000001,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,Cn1ncnc1[C@@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@H]1c1ccc(F)cc1,0.0
