centroid_idx,n,mean,median,std,min,max
401,173,7.972890173410405,8.15,1.0465339294044738,5.3,10.0
1374,108,7.699907407407408,7.95,0.6870973506020742,5.76,8.71
2355,95,8.228,8.22,0.47497279700498307,6.4,9.47
2568,73,8.1186301369863,8.09,0.4704597432838076,7.22,9.29
704,51,8.310588235294118,8.43,0.5034680189804527,6.7,9.15
2924,48,7.612291666666667,7.61,0.36939274257068033,6.94,8.48
2173,46,7.397826086956522,7.385,0.2149409731255685,6.86,7.86
421,39,7.913076923076924,8.0,0.5736753028126618,5.26,9.0
2728,38,5.527368421052631,5.535,0.36759305453124685,4.54,6.42
1423,37,6.796216216216216,6.85,0.34286827784624596,6.05,7.3
3144,37,7.351351351351352,7.27,0.49067610367164827,6.4,8.22
586,37,8.080270270270269,8.05,0.5309832108430778,6.72,9.3
580,33,7.915151515151517,8.0,0.590490916524297,6.27,8.85
2454,31,6.851935483870968,6.89,0.28219667535179177,6.19,7.41
2831,29,5.1851724137931035,5.23,0.5406931738098035,4.02,6.73
630,29,8.464137931034482,8.48,0.1907068022470767,7.92,8.89
136,28,7.475357142857143,7.58,0.47045936626463547,5.96,8.1
1472,27,7.679259259259259,7.66,0.17728248907544325,7.39,8.05
1682,26,6.633846153846154,6.56,0.5319056952496873,5.74,7.47
2880,26,7.847692307692308,8.05,0.3900819213004416,7.01,8.52
1244,25,8.2236,8.44,0.7111280053548729,5.38,8.96
319,25,7.4604,7.4,0.19920803196658518,7.18,7.77
853,23,7.179565217391305,7.19,0.391435243807348,6.27,8.1
26,23,7.536521739130434,7.6,0.35618276568482166,6.35,8.07
950,23,5.1982608695652175,5.17,0.5218916443753522,4.37,6.85
2735,23,5.766521739130434,5.71,0.4245981086571587,4.97,6.57
2688,22,8.126818181818182,8.365,0.8210491423872729,6.02,9.4
1170,19,7.063684210526316,7.31,0.7940914074808408,4.8,7.97
1909,19,7.262631578947369,7.24,0.24200570035181002,6.71,7.75
2516,19,8.627368421052632,8.72,0.8419453795589502,7.21,10.7
924,18,7.434999999999999,7.43,0.30253099014811696,6.83,8.22
1895,18,7.476111111111111,7.585,0.398038787737087,6.6,8.1
1612,17,8.118823529411763,8.14,0.28177760009794084,7.42,8.64
3095,17,5.469411764705882,5.28,0.8241321323830891,4.58,7.52
1651,17,7.612941176470589,7.52,0.8037468485411264,6.64,9.7
2242,17,6.587058823529411,6.47,0.5980041776942635,5.69,7.89
520,17,7.082941176470588,7.09,0.32814567614869855,6.41,7.6
2303,16,5.934374999999999,6.075,0.4602848133221431,4.64,6.48
800,16,7.969374999999999,7.89,0.2881073747320605,7.58,8.7
2706,16,5.381875,5.385,0.22685950360300086,5.07,5.82
1290,16,8.27,8.565,0.6836940105046995,6.84,9.22
2631,15,7.0120000000000005,6.93,0.499055107177554,6.56,8.68
3069,15,7.867333333333332,7.94,0.3855120692735257,6.8,8.33
3,15,6.922,7.16,0.678952133806206,5.52,7.7
493,15,6.438666666666666,6.3,0.4332338347308017,5.85,7.52
1094,14,5.857857142857143,5.8,0.5501970889914759,4.92,6.94
289,14,7.091428571428572,7.0649999999999995,0.32539771583308286,6.62,7.75
2295,14,7.48642857142857,7.48,0.5573612209440525,6.38,8.52
1142,14,6.037857142857143,6.234999999999999,0.5245975133570575,5.01,6.66
3202,14,8.230714285714285,8.260000000000002,0.21194555519601468,7.82,8.52
2607,14,8.375000000000002,8.379999999999999,0.7228786699222571,7.04,9.92
1747,14,7.497857142857142,7.335,0.7517425335410348,6.33,8.85
1463,14,7.531428571428571,7.5,0.2029728040493934,7.28,7.89
2108,14,7.847142857142857,7.715,0.682688263635843,6.85,9.04
2762,13,5.799230769230769,5.8,0.42209115928382357,5.12,6.59
1333,13,7.261538461538461,7.3,0.3372706321189867,6.52,7.7
1341,13,5.860769230769232,5.84,0.2848335961834434,5.45,6.41
710,13,7.254615384615383,7.35,0.40804629044745516,6.16,7.89
1202,13,5.893076923076924,5.8,0.7980975900938491,4.87,7.4
188,13,7.154615384615384,7.26,0.4843967760900052,6.27,7.89
968,13,5.742307692307692,5.7,0.5130924919792178,5.04,6.85
2864,13,7.07076923076923,7.27,0.6424767165905287,5.45,7.77
563,13,8.016153846153845,8.0,0.35999013793197726,7.34,8.62
1983,12,8.683333333333332,8.885,0.5236782302988057,7.81,9.36
1767,12,8.015833333333333,7.775,1.2920942840554974,6.26,10.7
1624,12,7.334166666666667,7.73,1.1804621858501958,4.64,8.54
114,12,6.960833333333333,6.895,0.38110493597199996,6.34,7.6
3282,12,8.4825,8.27,0.4068194726575086,8.07,9.39
1497,12,7.051666666666667,6.945,0.5068174117854368,5.89,7.82
879,11,6.891818181818182,7.35,1.7235893741197503,4.06,9.51
1717,11,7.526363636363637,7.54,0.44746300461140676,6.94,8.56
2019,11,7.407272727272727,7.54,0.3763482649474096,6.86,7.96
1943,11,5.880000000000001,5.96,0.3563450830049689,5.24,6.46
767,11,4.9381818181818184,4.87,0.2842156089955197,4.5,5.52
3121,11,5.632727272727273,5.5,0.7017522343014716,4.54,6.77
2139,11,6.203636363636364,6.53,0.7968263495925311,4.0,6.77
350,11,7.009999999999999,7.44,0.8623329877826673,5.08,7.82
1817,11,6.447272727272726,6.5,0.3937717592046278,5.77,7.0
209,10,8.072999999999999,8.094999999999999,0.28979475495598617,7.48,8.42
3197,10,6.159999999999999,6.26,0.30000000000000004,5.26,6.26
2067,10,6.298,6.36,0.3896100614717232,5.48,7.03
1869,10,6.4879999999999995,6.215,0.5976085675423336,5.9,7.6
1608,10,7.333,8.005,1.4250126315229632,4.0,8.48
2277,10,7.017999999999999,6.994999999999999,0.727527319074686,5.58,8.66
527,10,5.4350000000000005,5.38,0.43895899580712555,4.83,6.33
1927,9,7.437777777777778,7.44,0.41165729484009134,7.01,8.4
1115,9,7.212222222222222,7.1,0.304732224083804,6.91,7.96
2272,9,6.90888888888889,6.89,0.7075378976021073,5.64,7.92
2614,9,7.751111111111111,7.34,1.0899382698569517,6.89,10.64
1060,9,6.705555555555555,6.92,0.442897307162008,6.07,7.36
1741,9,5.555555555555555,5.51,0.4195794484722134,4.86,6.13
2320,9,9.04888888888889,9.02,0.17615929940094596,8.81,9.39
2335,9,6.943333333333334,6.95,0.30947985035827075,6.44,7.31
1948,9,6.52888888888889,6.36,0.4414230634976545,5.92,7.22
2001,9,5.333333333333333,5.31,0.3376388603226827,4.81,6.02
1040,9,6.051111111111111,6.06,0.44117128053107924,5.42,6.57
789,9,7.87,7.92,0.1294432522596507,7.68,8.1
3306,9,8.223333333333333,8.22,0.1290994448735805,8.05,8.48
1547,8,7.94,7.970000000000001,0.21863211109075475,7.52,8.22
1457,8,7.5975,7.615,0.15114149000191826,7.36,7.77
