mol_idx,smiles,target,pic50,cluster_id,cluster_size,is_singleton,max_sali,n_cliff_pairs
2532,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nnc2-c2ccc(CN3CCSCC3)o2)C1,CHEMBL3105,10.7,2516,19,False,15.800003348457189,0
1788,N#Cc1ccccc1N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)cc(F)c2F)CC1,CHEMBL3105,10.7,1767,12,False,21.389996685147796,1
2643,NC(=O)c1cccc2[nH]c(-c3ccc(NCc4ccc(C(=O)Nc5ccccc5N)cc4)cc3)nc12,CHEMBL3105,10.66,singleton,1,True,12.69666742344702,0
2496,NC(=O)c1cccc2[nH]c(-c3ccc(C(=O)N4CCN(C(=O)c5ccc(Br)o5)CC4)cc3)nc12,CHEMBL3105,10.64,2614,9,False,19.29299954001905,1
1793,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccn2)CC1,CHEMBL3105,10.0,401,173,False,12.375000737607524,0
2605,Cn1cc(-c2ccc(=O)n(CCOc3ccnc4cc(N5CCN(C(=O)c6cc(Cc7n[nH]c(=O)c8ccccc78)ccc6F)CC5)ccc34)n2)cn1,CHEMBL3105,9.92,2607,14,False,13.502105009014262,2
2530,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nnc2-c2ccc(CN3CCCCC3)o2)C1,CHEMBL3105,9.77,2516,19,False,64.38003837349312,0
2476,O=C(c1cc(Cc2n[nH]c(=O)c3cccc(O)c23)ccc1F)N1CCN(C(=O)C2CC2)CC1,CHEMBL3105,9.76,401,173,False,11.708076520467841,0
2134,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc3ccccc3[nH]2)CC1,CHEMBL3105,9.72,401,173,False,11.320000000000002,0
1660,Cc1cc(-c2[nH]c(=O)c3cc(F)ccc3c2OCCN)ccc1Cl,CHEMBL3105,9.7,1651,17,False,10.437142323912433,0
1801,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2nccs2)CC1,CHEMBL3105,9.7,401,173,False,9.940000310341524,0
2517,N#Cc1ccc(-c2nnc3n2CCN(C(=O)c2cc(Cc4n[nH]c(=O)c5ccccc45)ccc2F)C3)o1,CHEMBL3105,9.64,2516,19,False,11.998125581054513,0
2130,NC(=O)c1cncc2[nH]c(C3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)nc12,CHEMBL3105,9.64,2130,3,False,10.580000105102858,0
2509,Cc1ccc(-c2nnc3n2CCN(C(=O)c2cc(Cc4n[nH]c(=O)c5ccccc45)ccc2F)C3)o1,CHEMBL3105,9.62,401,173,False,15.062497531064254,2
2487,NC(=O)c1ccccc1OCc1cccc(NC(=O)c2ccc(Br)cc2)c1,CHEMBL3105,9.6,2489,4,False,7.7133331289997855,0
2310,COc1ccc(NC(=O)c2ccc(NC(=O)N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)cc2)cc1,CHEMBL3105,9.6,401,173,False,10.477825978343114,0
2508,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nnc2-c2ccco2)C1,CHEMBL3105,9.59,401,173,False,12.539999770017776,0
884,O=C1NCC2c3c(cccc31)CCN2C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,CHEMBL3105,9.51,879,11,False,20.828574266239475,4
2370,CCc1cc2ncc(CN3CC4CN(c5ccc(C(=O)NC)nc5)CC4C3)cc2[nH]c1=O,CHEMBL3105,9.47,2355,95,False,9.290666998926815,0
1783,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1,CHEMBL3105,9.4,1767,12,False,11.533571183051995,0
2369,CCc1cc2ncc(CN3CCc4cc(/C=C/C(=O)NC)ccc4C3)cc2[nH]c1=O,CHEMBL3105,9.4,singleton,1,True,8.057777315285009,0
1779,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(F)cc2)CC1,CHEMBL3105,9.4,401,173,False,18.37624685098471,4
2051,NC(=O)c1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1,CHEMBL3105,9.4,2049,5,False,7.426956752703194,0
2537,C[C@@H]1CN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)Cc2nnc(-c3nccs3)n21,CHEMBL3105,9.4,2688,22,False,9.842353033199995,0
2137,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nc3ccc(Cl)cc32)C1,CHEMBL3105,9.4,401,173,False,11.826922155079124,0
2320,NC1CCN(Cc2ccc(-c3[nH]c4cc(F)cc5c4c3CCNC5=O)cc2)CC1,CHEMBL3105,9.39,2320,9,False,8.019267896304614,0
2360,CCc1cc2ncc(CN3CCN(c4ccc5c[nH]nc5n4)CC3)cc2[nH]c1=O,CHEMBL3105,9.39,3282,12,False,7.1141376093522695,0
2658,CNC(=O)c1ccc(N2CCN(Cc3ccc4c(c3)[nH]c(=O)n3cccc43)CC2)c(C)n1,CHEMBL3105,9.37,2659,3,False,6.88904138838604,0
2659,CNC(=O)c1ccc(N2CCN(Cc3ccc4c(c3)[nH]c(=O)n3cccc43)CC2)c(F)n1,CHEMBL3105,9.37,2659,3,False,6.9847219678033,0
2660,CNC(=O)c1ccc(N2CCN(Cc3cc(F)c4c(c3)[nH]c(=O)n3cccc43)CC2)c(F)n1,CHEMBL3105,9.37,2492,4,False,6.962328755753776,0
2510,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nnc2-c2ccoc2)C1,CHEMBL3105,9.36,401,173,False,12.180000725984616,0
1978,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc(-c3cccc4[nH]ncc34)nc(N3CCOCC3)n2)CC1,CHEMBL3105,9.36,1983,12,False,9.599999309036017,0
2136,Cc1ccc2nc3n(c2c1)CCN(C(=O)c1cc(Cc2n[nH]c(=O)c4ccccc24)ccc1F)C3,CHEMBL3105,9.33,401,173,False,11.343703202861185,0
2378,CCc1cc2ncc(CN3CC[C@@H](Nc4ccc(C(=O)NC)nc4)C3)cc2[nH]c1=O,CHEMBL3105,9.31,2355,95,False,8.959999999999999,0
2306,Cc1ccc(NC(=O)c2ccc(NC(=O)N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)cc2)cc1,CHEMBL3105,9.31,401,173,False,10.095117090686522,0
2135,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nc3ccccc32)C1,CHEMBL3105,9.31,401,173,False,12.941363566239513,0
1966,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1Cc2c(c(O)n(Cc3ccccc3)c2O)C1,CHEMBL3105,9.3,401,173,False,10.480000000000002,0
